sku,Nombre,Descripción,Precio rebajado,Precio normal,Categorías,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Imágenes,Marca
11557,BOSS BOTTLED,BOSS BOTTLED eau de toilette vaporizador 100 ml,54.95,54.95,Perfumes>Tipo de perfume>Eau de Toilette,Tamaño,100ml,1,1,"https://i1.perfumesclub.com/grande/11557.jpg,https://i1.perfumesclub.com/grande/11557-2.jpg,https://i1.perfumesclub.com/grande/11557-3.jpg,https://i1.perfumesclub.com/grande/11557-4.jpg",Hugo Boss
11558,BOSS BOTTLED,BOSS BOTTLED eau de toilette vaporizador 50 ml,42.96,42.96,Perfumes>Tipo de perfume>Eau de Toilette,Tamaño,50ml,1,1,"https://i1.perfumesclub.com/grande/11558.jpg,https://i1.perfumesclub.com/grande/11558-2.jpg,https://i1.perfumesclub.com/grande/11558-3.jpg,https://i1.perfumesclub.com/grande/11558-4.jpg",Hugo Boss
11908,BOSS BOTTLED,BOSS BOTTLED eau de toilette vaporizador 30 ml,36.02,36.02,Perfumes>Tipo de perfume>Eau de Toilette,Tamaño,30ml,1,1,"https://i1.perfumesclub.com/grande/11908.jpg,https://i1.perfumesclub.com/grande/11908-2.jpg,https://i1.perfumesclub.com/grande/11908-3.jpg,https://i1.perfumesclub.com/grande/11908-4.jpg",Hugo Boss
23339,BOSS BOTTLED,BOSS BOTTLED eau de toilette vaporizador 200 ml,74.95,74.95,Perfumes>Tipo de perfume>Eau de Toilette,Tamaño,200ml,1,1,"https://i1.perfumesclub.com/grande/23339.jpg,https://i1.perfumesclub.com/grande/23339-2.jpg,https://i1.perfumesclub.com/grande/23339-3.jpg,https://i1.perfumesclub.com/grande/23339-4.jpg",Hugo Boss
17203,BOSS FEMME,BOSS FEMME eau de parfum vaporizador 75 ml,31.62,31.62,Perfumes>Tipo de perfume>Eau de Parfum,Tamaño,75ml,1,1,"https://i1.perfumesclub.com/grande/17203.jpg,https://i1.perfumesclub.com/grande/17203-2.jpg",Hugo Boss
17204,BOSS FEMME,BOSS FEMME eau de parfum vaporizador 50 ml,29.45,29.45,Perfumes>Tipo de perfume>Eau de Parfum,Tamaño,50ml,1,1,"https://i1.perfumesclub.com/grande/17204.jpg,https://i1.perfumesclub.com/grande/17204-2.jpg",Hugo Boss
18008,BOSS FEMME,BOSS FEMME eau de parfum vaporizador 30 ml,25.3,25.3,Perfumes>Tipo de perfume>Eau de Parfum,Tamaño,30ml,1,1,"https://i1.perfumesclub.com/grande/18008.jpg,https://i1.perfumesclub.com/grande/18008-2.jpg",Hugo Boss
153180,HUGO,HUGO eau de toilette vaporizador 200 ml,56.77,56.77,Perfumes>Tipo de perfume>Eau de Toilette,Tamaño,200ml,1,1,"https://i1.perfumesclub.com/grande/153180.jpg,https://i1.perfumesclub.com/grande/153180-2.jpg,https://i1.perfumesclub.com/grande/153180-3.jpg",Hugo Boss
156952,HUGO,HUGO eau de toilette vaporizador 40 ml,35.73,35.73,Perfumes>Tipo de perfume>Eau de Toilette,Tamaño,40ml,1,1,"https://i1.perfumesclub.com/grande/156952.jpg,https://i1.perfumesclub.com/grande/156952-2.jpg,https://i1.perfumesclub.com/grande/156952-3.jpg",Hugo Boss
156953,HUGO,HUGO eau de toilette vaporizador 75 ml,34.94,34.94,Perfumes>Tipo de perfume>Eau de Toilette,Tamaño,75ml,1,1,"https://i1.perfumesclub.com/grande/156953.jpg,https://i1.perfumesclub.com/grande/156953-2.jpg,https://i1.perfumesclub.com/grande/156953-3.jpg",Hugo Boss
156954,HUGO,HUGO eau de toilette vaporizador 125 ml,44.95,44.95,Perfumes>Tipo de perfume>Eau de Toilette,Tamaño,125ml,1,1,"https://i1.perfumesclub.com/grande/156954.jpg,https://i1.perfumesclub.com/grande/156954-2.jpg,https://i1.perfumesclub.com/grande/156954-3.jpg",Hugo Boss
199652,BOSS BOTTLED ABSOLU,BOSS BOTTLED ABSOLU eau de parfum vaporizador 50 ml,53.66,53.66,Perfumes>Tipo de perfume>Eau de Parfum,Tamaño,50ml,1,1,"https://i1.perfumesclub.com/grande/199652.jpg,https://i1.perfumesclub.com/grande/199652-2.jpg,https://i1.perfumesclub.com/grande/199652-3.jpg,https://i1.perfumesclub.com/grande/199652-4.jpg",Hugo Boss
199653,BOSS BOTTLED ABSOLU,BOSS BOTTLED ABSOLU eau de parfum vaporizador 100 ml,72.49,72.49,Perfumes>Tipo de perfume>Eau de Parfum,Tamaño,100ml,1,1,"https://i1.perfumesclub.com/grande/199653.jpg,https://i1.perfumesclub.com/grande/199653-2.jpg,https://i1.perfumesclub.com/grande/199653-3.jpg,https://i1.perfumesclub.com/grande/199653-4.jpg",Hugo Boss
24573,BOSS ORANGE WOMAN,BOSS ORANGE WOMAN eau de toilette vaporizador 75 ml,39.95,39.95,Perfumes>Tipo de perfume>Eau de Toilette,Tamaño,75ml,1,1,"https://i1.perfumesclub.com/grande/24573.jpg,https://i1.perfumesclub.com/grande/24573-2.jpg",Hugo Boss
24574,BOSS ORANGE WOMAN,BOSS ORANGE WOMAN eau de toilette vaporizador 50 ml,39.99,39.99,Perfumes>Tipo de perfume>Eau de Toilette,Tamaño,50ml,1,1,"https://i1.perfumesclub.com/grande/24574.jpg,https://i1.perfumesclub.com/grande/24574-2.jpg",Hugo Boss
